Source	Target
1500	9750
1500	9758
1500	9759
1500	9791
4	9750
8	9750
8	9759
9	9750
21	9750
21	9791
23	9750
25	9750
28	9750
33	9750
39	9750
46	9750
46	9758
49	9750
52	9750
52	9758
60	9750
69	9750
72	9750
72	9791
88	9750
105	9750
105	9759
107	9750
107	9758
117	9750
120	9750
122	9750
136	9750
136	9791
141	9750
141	9759
146	9750
154	9750
154	9758
154	9759
157	9750
157	9791
159	9750
162	9750
167	9750
167	9791
174	9750
174	9758
174	9759
178	9750
181	9750
182	9750
182	9759
184	9750
184	9759
187	9750
196	9750
202	9750
210	9750
223	9750
240	9750
248	9750
248	9758
248	9791
250	9750
256	9750
263	9750
268	9750
268	9759
282	9750
283	9750
285	9750
297	9750
297	9758
314	9750
320	9750
336	9750
340	9750
345	9750
355	9750
356	9750
359	9750
359	9758
366	9750
367	9750
367	9758
367	9759
367	9791
371	9750
371	9791
373	9750
373	9759
378	9750
378	9791
379	9750
380	9750
380	9791
392	9750
409	9750
413	9750
418	9750
418	9791
419	9750
421	9750
421	9758
422	9750
422	9758
428	9750
429	9750
432	9750
435	9750
438	9750
439	9750
442	9750
444	9750
444	9758
448	9750
459	9750
459	9758
459	9759
498	9750
516	9750
516	9758
523	9750
536	9750
536	9758
547	9750
550	9750
559	9750
573	9750
574	9750
578	9750
587	9750
597	9750
603	9750
608	9750
608	9759
609	9750
613	9750
615	9750
621	9750
623	9750
627	9750
634	9750
634	9791
640	9750
644	9750
644	9791
648	9750
658	9750
665	9750
668	9750
673	9750
682	9750
686	9750
688	9750
690	9750
696	9750
698	9750
698	9791
701	9750
702	9750
702	9758
702	9791
707	9750
707	9791
712	9750
719	9750
724	9750
724	9758
734	9750
742	9750
758	9750
765	9750
766	9750
766	9791
769	9750
771	9750
772	9750
772	9791
787	9750
795	9750
800	9750
808	9750
813	9750
814	9750
814	9758
814	9759
817	9750
819	9750
820	9750
826	9750
826	9791
837	9750
837	9759
849	9750
857	9750
864	9750
865	9750
865	9758
877	9750
888	9750
902	9750
908	9750
915	9750
935	9750
941	9750
941	9791
943	9750
943	9758
944	9750
945	9750
947	9750
948	9750
948	9758
948	9759
965	9750
965	9791
968	9750
968	9791
971	9750
972	9750
972	9791
978	9750
983	9750
983	9758
984	9750
984	9758
998	9750
998	9758
998	9791
1002	9750
1007	9750
1027	9750
1034	9750
1039	9750
1040	9750
1048	9750
1051	9750
1064	9750
1073	9750
1076	9750
1076	9791
1096	9750
1098	9750
1098	9758
1098	9759
1106	9750
1106	9759
1106	9791
1109	9750
1109	9791
1115	9750
1117	9750
1117	9758
1119	9750
1119	9791
1121	9750
1124	9750
1125	9750
1126	9750
1126	9758
1138	9750
1141	9750
1142	9750
1157	9750
1166	9750
1173	9750
1173	9759
1173	9791
1174	9750
1174	9791
1180	9750
1184	9750
1186	9750
1187	9750
1197	9750
1197	9791
1200	9750
1220	9750
1235	9750
1235	9758
1235	9759
1241	9750
1246	9750
1249	9750
1249	9759
1262	9750
1264	9750
1265	9750
1268	9750
1282	9750
1284	9750
1284	9759
1300	9750
1307	9750
1307	9759
1309	9750
1310	9750
1313	9750
1327	9750
1329	9750
1349	9750
1356	9750
1365	9750
1373	9750
1373	9758
1376	9750
1378	9750
1380	9750
1391	9750
1402	9750
1406	9750
1406	9791
1407	9750
1410	9750
1414	9750
1414	9758
1414	9791
1425	9750
1427	9750
1427	9791
1431	9750
1433	9750
1433	9759
1436	9750
1436	9791
1447	9750
1458	9750
1458	9791
1463	9750
1463	9758
1463	9791
1466	9750
1479	9750
1488	9750
1488	9758
1488	9791
1494	9750
1494	9791
1495	9750
1502	9750
1502	9759
1502	9791
1508	9750
1516	9750
1517	9750
1533	9750
1538	9750
1552	9750
1555	9750
1556	9750
1557	9750
1561	9750
1561	9759
1569	9750
1571	9750
1584	9750
1586	9750
1590	9750
1594	9750
1600	9750
1600	9758
1607	9750
1607	9758
1607	9759
1610	9750
1617	9750
1619	9750
1638	9750
1641	9750
1641	9791
1655	9750
1656	9750
1665	9750
1669	9750
1669	9791
1671	9750
1674	9750
1674	9791
1677	9750
1677	9758
1677	9759
1688	9750
1693	9750
1693	9758
1693	9759
1698	9750
1701	9750
1703	9750
1704	9750
1710	9750
1729	9750
1730	9750
1730	9791
1747	9750
1749	9750
1749	9758
1749	9759
1758	9750
1779	9750
1786	9750
1786	9758
1810	9750
1832	9750
1835	9750
1843	9750
1843	9791
1858	9750
1861	9750
1891	9750
1906	9750
1916	9750
1916	9791
1927	9750
1927	9758
1927	9791
1934	9750
1934	9791
1936	9750
1936	9758
1938	9750
