Source	Target
0	9740
0	9741
0	9742
0	9743
1	9742
6	9742
6	9758
8	9742
8	9749
8	9750
8	9752
8	9753
8	9759
8	9760
10	9740
10	9741
10	9742
10	9743
10	9746
10	9747
10	9748
10	9751
10	9752
10	9755
10	9756
10	9761
10	9762
10	9763
10	9764
10	9765
10	9766
10	9767
10	9768
10	9769
10	9770
10	9771
10	9772
10	9773
10	9774
10	9775
10	9776
10	9777
10	9778
10	9779
10	9780
10	9781
10	9782
11	9742
11	9783
11	9784
12	9742
12	9747
19	9742
23	9740
23	9742
23	9743
23	9744
23	9746
23	9748
23	9749
23	9750
23	9751
23	9755
23	9761
23	9768
23	9769
23	9778
23	9780
23	9784
23	9796
25	9742
25	9750
25	9752
25	9753
25	9773
25	9797
29	9742
29	9773
36	9742
36	9746
36	9747
36	9752
40	9742
43	9741
43	9742
43	9745
43	9768
43	9771
43	9772
43	9778
43	9787
45	9741
45	9742
45	9764
45	9765
45	9766
45	9771
46	9742
46	9746
46	9747
46	9750
46	9751
46	9752
46	9758
46	9770
46	9783
46	9790
46	9796
46	9799
49	9742
49	9750
49	9752
49	9753
49	9773
49	9797
50	9742
50	9746
50	9747
50	9749
50	9796
51	9742
51	9771
53	9742
54	9742
58	9742
58	9771
59	9742
59	9744
59	9756
59	9795
61	9740
61	9741
61	9742
61	9744
61	9748
61	9755
61	9764
61	9765
61	9766
61	9776
61	9780
61	9789
63	9742
63	9771
64	9742
64	9773
66	9742
66	9747
66	9771
68	9742
68	9747
68	9773
71	9742
71	9752
71	9790
74	9742
76	9742
76	9752
76	9785
76	9796
85	9742
85	9747
85	9773
88	9742
88	9745
88	9750
88	9752
88	9753
88	9787
88	9802
88	9809
92	9742
92	9744
92	9771
92	9772
92	9784
92	9810
94	9740
94	9741
94	9742
94	9743
94	9747
94	9748
94	9755
94	9756
94	9758
94	9762
94	9763
94	9764
94	9765
94	9766
94	9769
94	9771
94	9772
94	9773
94	9775
94	9780
94	9800
94	9813
95	9742
99	9742
101	9742
101	9747
101	9761
101	9773
101	9774
101	9781
101	9782
101	9802
103	9742
103	9747
104	9742
104	9773
110	9740
110	9741
110	9742
110	9745
110	9748
110	9755
110	9761
110	9768
110	9771
110	9772
110	9775
110	9778
112	9742
112	9758
115	9742
115	9800
115	9802
116	9742
116	9747
117	9742
117	9746
117	9750
117	9752
117	9753
117	9796
123	9742
123	9747
123	9771
123	9781
124	9742
124	9773
125	9742
125	9803
125	9808
126	9742
126	9759
126	9798
126	9811
126	9813
131	9742
131	9758
134	9742
134	9773
135	9742
135	9747
135	9758
135	9773
137	9742
137	9747
139	9742
139	9747
146	9742
146	9747
146	9749
146	9750
146	9752
146	9753
146	9772
148	9742
148	9744
150	9742
150	9773
151	9742
154	9742
154	9746
154	9747
154	9749
154	9750
154	9752
154	9758
154	9759
154	9770
154	9772
154	9776
154	9780
154	9784
154	9790
154	9796
154	9799
155	9742
155	9744
155	9751
155	9756
155	9757
155	9780
155	9796
155	9802
155	9803
155	9809
159	9742
159	9744
159	9749
159	9750
159	9756
159	9761
159	9773
159	9774
159	9780
160	9742
160	9748
160	9758
160	9766
160	9771
164	9742
164	9747
164	9771
165	9742
165	9747
168	9742
168	9751
168	9784
170	9742
174	9742
174	9746
174	9749
174	9750
174	9752
174	9753
174	9758
174	9759
174	9770
174	9771
174	9772
174	9783
174	9797
174	9799
174	9811
177	9742
178	9742
178	9749
178	9750
178	9771
182	9740
182	9742
182	9743
182	9746
182	9748
182	9750
182	9752
182	9753
182	9755
182	9759
182	9769
182	9770
182	9783
182	9784
182	9790
182	9811
185	9742
186	9742
186	9747
188	9742
196	9742
196	9744
196	9748
196	9750
196	9755
196	9756
196	9764
196	9766
196	9771
196	9780
196	9799
196	9810
201	9742
201	9752
201	9799
211	9742
212	9742
212	9746
212	9784
212	9797
213	9742
213	9751
216	9742
216	9773
217	9742
217	9744
217	9756
217	9761
217	9762
217	9763
217	9764
217	9766
217	9769
217	9774
217	9780
217	9782
217	9798
217	9799
217	9801
217	9810
217	9813
221	9742
221	9747
221	9771
221	9772
224	9742
225	9742
225	9747
226	9740
226	9741
226	9742
226	9762
226	9763
226	9765
227	9742
230	9742
230	9747
233	9742
233	9746
233	9751
233	9752
233	9759
233	9770
233	9790
233	9798
237	9740
237	9741
237	9742
237	9746
237	9747
237	9752
237	9758
237	9759
237	9762
237	9763
237	9770
237	9783
237	9784
237	9796
240	9742
240	9749
240	9750
240	9752
240	9753
240	9771
255	9742
255	9751
257	9742
257	9746
257	9752
257	9758
257	9770
258	9742
258	9764
258	9766
258	9768
258	9778
261	9742
261	9771
261	9772
262	9742
262	9746
262	9752
262	9758
262	9796
262	9799
264	9742
264	9751
264	9752
264	9796
266	9742
266	9773
267	9742
267	9761
267	9771
267	9774
268	9742
268	9747
268	9750
268	9752
268	9753
268	9756
268	9757
268	9759
268	9772
268	9790
268	9796
268	9799
268	9802
268	9803
268	9810
274	9740
274	9742
274	9743
274	9744
274	9747
274	9748
274	9755
274	9780
278	9742
278	9747
278	9748
278	9755
278	9772
278	9810
280	9742
280	9747
282	9742
282	9744
282	9746
282	9750
282	9751
282	9757
283	9742
283	9745
283	9749
283	9750
283	9752
283	9753
283	9756
283	9797
283	9809
283	9813
285	9742
285	9749
285	9750
285	9752
285	9753
289	9742
289	9747
289	9771
290	9742
290	9747
291	9742
296	9742
296	9771
297	9741
297	9742
297	9744
297	9748
297	9749
297	9750
297	9752
297	9753
297	9755
297	9756
297	9757
297	9758
297	9761
297	9764
297	9765
297	9766
297	9770
297	9773
297	9774
297	9780
297	9803
297	9811
299	9742
299	9747
303	9742
303	9771
303	9772
305	9742
305	9752
305	9796
309	9742
309	9744
309	9746
309	9747
309	9752
309	9756
309	9759
309	9780
309	9790
309	9796
312	9742
313	9742
317	9742
317	9771
318	9742
318	9746
318	9784
318	9797
324	9742
324	9751
324	9771
327	9740
327	9742
327	9746
327	9748
327	9755
327	9759
327	9760
327	9761
327	9764
327	9766
327	9769
327	9770
327	9774
327	9775
327	9776
327	9789
327	9790
327	9796
327	9799
327	9810
327	9814
329	9742
329	9758
329	9771
330	9742
330	9746
330	9747
330	9752
330	9776
330	9785
330	9796
331	9742
331	9759
331	9799
333	9742
333	9746
333	9752
333	9760
333	9776
333	9796
333	9799
334	9742
334	9771
336	9742
336	9747
336	9749
336	9750
336	9752
336	9753
336	9756
336	9757
337	9742
337	9747
337	9752
337	9776
337	9783
338	9742
338	9773
339	9742
339	9746
339	9752
339	9758
339	9759
339	9790
339	9796
339	9815
348	9742
348	9746
348	9751
348	9755
348	9758
348	9759
348	9771
348	9780
349	9742
349	9744
349	9752
349	9756
349	9758
349	9776
349	9784
349	9785
349	9802
349	9811
349	9813
350	9742
350	9767
354	9742
354	9758
357	9742
357	9771
359	9742
359	9750
359	9751
359	9752
359	9758
359	9771
359	9776
359	9783
359	9799
361	9742
361	9746
361	9747
361	9758
361	9759
361	9770
361	9771
361	9780
361	9809
367	9742
367	9750
367	9752
367	9758
367	9759
367	9776
367	9783
367	9791
367	9799
371	9742
371	9750
371	9791
371	9796
372	9742
372	9746
372	9747
372	9751
372	9752
372	9759
372	9796
372	9810
373	9741
