Source	Target
7653	15669
7653	15684
7653	19691
7653	24491
7653	34296
7653	34298
7653	34302
7653	34304
7653	34305
7653	41504
7653	41505
7653	41506
7653	41507
7653	41508
7653	41509
7653	41510
7653	41511
7653	41512
7653	41513
7653	41514
7653	41515
7653	41516
7653	41517
7653	41518
7653	41519
7653	41520
7653	41521
7653	41522
7653	41523
7653	41524
7653	41525
7653	41526
7653	41527
7653	41528
7653	41529
7653	41530
7653	41531
7653	41532
7653	41533
7653	41534
7653	41535
7653	41536
7653	41537
7653	41538
7653	41539
7653	41540
7653	41541
7653	41542
7653	41543
7653	41544
7653	41545
7653	41546
7653	41547
7653	41548
7653	41549
7653	41550
7653	41551
7653	41552
7653	41553
7653	41554
7653	41555
7653	41556
7653	41557
7653	41558
7653	41559
7653	41560
7653	41561
7653	41562
7653	41563
7653	41564
7653	41565
7653	41566
7653	41567
7653	41568
7653	41569
7653	41570
7653	41571
7653	41572
7653	41573
7653	41574
7653	41575
7653	41576
7653	41577
7653	41578
7653	41579
7653	41580
7653	41581
7653	41582
7653	41583
7653	41584
7653	41585
7653	41586
7653	41587
7653	41588
7653	41589
962	15669
962	15684
1235	15669
1235	15684
1677	19691
2745	24491
5415	34296
5415	34298
5415	34302
5415	34304
5415	34305
9621	34296
9621	34298
9621	34302
9621	34304
9621	34305
9182	41548
