Source	Target
0	9740
0	9741
0	9742
0	9743
1	9742
2	9744
2	9745
2	9746
3	9743
3	9747
3	9748
4	9746
4	9749
4	9750
4	9751
4	9752
4	9753
5	9740
5	9743
5	9754
5	9755
5	9756
5	9757
6	9742
6	9758
7	9751
7	9758
8	9742
8	9749
8	9750
8	9752
8	9753
8	9759
8	9760
9	9750
10	9740
10	9741
10	9742
10	9743
10	9746
10	9747
10	9748
10	9751
10	9752
10	9755
10	9756
10	9761
10	9762
10	9763
10	9764
10	9765
10	9766
10	9767
10	9768
10	9769
10	9770
10	9771
10	9772
10	9773
10	9774
10	9775
10	9776
10	9777
10	9778
10	9779
10	9780
10	9781
10	9782
11	9742
11	9783
11	9784
12	9742
12	9747
13	9756
13	9785
13	9786
13	9787
14	9779
14	9781
14	9782
15	9744
15	9780
16	9740
16	9741
16	9762
16	9763
16	9765
16	9788
17	9740
17	9741
17	9743
17	9748
17	9755
17	9764
17	9765
17	9766
17	9775
17	9789
18	9748
18	9755
18	9761
18	9774
19	9742
20	9755
20	9778
20	9781
20	9783
20	9790
21	9750
21	9762
21	9791
21	9792
22	9745
22	9756
22	9758
22	9786
22	9787
22	9793
22	9794
22	9795
23	9740
23	9742
23	9743
23	9744
23	9746
23	9748
23	9749
23	9750
23	9751
23	9755
23	9761
23	9768
23	9769
23	9778
23	9780
23	9784
23	9796
24	9746
24	9752
25	9742
25	9750
25	9752
25	9753
25	9773
25	9797
26	9744
26	9780
27	9752
27	9782
27	9798
28	9750
28	9752
28	9753
29	9742
29	9773
30	9784
30	9799
31	9744
31	9748
31	9755
31	9757
31	9800
32	9792
32	9801
33	9750
33	9752
33	9753
34	9799
35	9768
35	9769
35	9771
35	9772
35	9778
36	9742
36	9746
36	9747
36	9752
37	9744
37	9756
37	9780
37	9783
37	9800
37	9802
38	9757
38	9761
38	9774
38	9781
38	9803
39	9750
39	9752
39	9753
40	9742
41	9758
42	9747
42	9773
43	9741
43	9742
43	9745
43	9768
43	9771
43	9772
43	9778
43	9787
44	9740
44	9741
44	9743
44	9748
44	9755
44	9761
44	9765
44	9766
44	9774
45	9741
45	9742
45	9764
45	9765
45	9766
45	9771
46	9742
46	9746
46	9747
46	9750
46	9751
46	9752
46	9758
46	9770
46	9783
46	9790
46	9796
46	9799
47	9748
47	9755
47	9764
47	9766
47	9780
48	9740
48	9743
48	9789
49	9742
49	9750
49	9752
49	9753
49	9773
49	9797
50	9742
50	9746
50	9747
50	9749
50	9796
51	9742
51	9771
52	9749
52	9750
52	9758
53	9742
54	9742
55	9740
55	9743
55	9748
55	9755
55	9758
55	9762
55	9763
55	9804
56	9759
56	9796
57	9744
57	9745
57	9756
57	9757
57	9800
57	9805
57	9806
58	9742
58	9771
59	9742
59	9744
59	9756
59	9795
60	9749
60	9750
61	9740
61	9741
61	9742
61	9744
61	9748
61	9755
61	9764
61	9765
61	9766
61	9776
61	9780
61	9789
62	9748
62	9755
62	9764
62	9766
63	9742
63	9771
64	9742
64	9773
65	9740
65	9741
65	9764
65	9788
65	9807
66	9742
66	9747
66	9771
67	9758
68	9742
68	9747
68	9773
69	9750
69	9752
69	9753
70	9744
70	9756
70	9757
70	9780
70	9792
70	9800
70	9801
70	9802
71	9742
71	9752
71	9790
72	9750
72	9785
72	9791
73	9758
73	9796
74	9742
75	9747
75	9773
76	9742
76	9752
76	9785
76	9796
77	9790
78	9740
78	9755
78	9763
78	9776
79	9756
79	9780
80	9744
80	9757
80	9780
80	9795
80	9808
80	9809
81	9747
82	9746
82	9759
82	9770
82	9776
82	9799
83	9744
83	9790
83	9796
83	9810
84	9744
84	9756
84	9757
85	9742
85	9747
85	9773
86	9740
86	9743
86	9745
86	9748
86	9755
86	9761
86	9763
86	9769
86	9770
86	9774
86	9784
86	9785
86	9787
86	9804
86	9811
87	9741
87	9743
87	9748
87	9755
87	9764
87	9765
87	9766
88	9742
88	9745
88	9750
88	9752
88	9753
88	9787
88	9802
88	9809
89	9763
89	9764
89	9771
89	9795
89	9812
90	9744
90	9780
90	9795
90	9809
91	9741
91	9743
91	9744
91	9748
91	9755
91	9756
91	9762
91	9763
91	9766
91	9767
91	9768
91	9774
91	9776
91	9778
91	9798
91	9800
91	9802
91	9804
91	9805
91	9810
92	9742
92	9744
92	9771
92	9772
92	9784
92	9810
93	9740
93	9741
93	9762
93	9763
93	9765
93	9781
93	9782
94	9740
94	9741
94	9742
94	9743
94	9747
94	9748
94	9755
94	9756
94	9758
94	9762
94	9763
94	9764
94	9765
94	9766
94	9769
94	9771
94	9772
94	9773
94	9775
94	9780
94	9800
94	9813
95	9742
96	9784
96	9785
96	9790
97	9746
97	9752
97	9756
98	9746
98	9768
98	9778
98	9780
98	9799
98	9810
99	9742
100	9740
100	9741
100	9743
100	9744
100	9748
100	9755
100	9756
100	9761
100	9762
100	9763
100	9764
100	9765
100	9766
100	9769
100	9774
100	9780
100	9789
101	9742
101	9747
101	9761
101	9773
101	9774
101	9781
101	9782
101	9802
102	9746
102	9752
102	9758
102	9759
103	9742
103	9747
104	9742
104	9773
105	9750
105	9759
105	9785
105	9798
105	9806
105	9811
106	9761
106	9774
107	9746
107	9749
107	9750
107	9758
108	9758
109	9748
109	9755
109	9768
109	9778
110	9740
110	9741
110	9742
110	9745
110	9748
110	9755
110	9761
110	9768
110	9771
110	9772
110	9775
110	9778
111	9784
111	9790
112	9742
112	9758
113	9751
113	9758
113	9759
114	9744
115	9742
115	9800
115	9802
116	9742
116	9747
117	9742
117	9746
117	9750
117	9752
117	9753
117	9796
118	9741
118	9748
118	9754
118	9755
118	9761
118	9764
118	9765
118	9774
118	9775
118	9796
118	9799
119	9756
119	9757
119	9803
119	9808
120	9749
120	9750
121	9745
121	9787
122	9745
122	9747
122	9749
122	9750
122	9771
122	9781
122	9787
122	9810
123	9742
123	9747
123	9771
123	9781
124	9742
124	9773
125	9742
125	9803
125	9808
126	9742
126	9759
126	9798
126	9811
126	9813
127	9744
127	9780
128	9764
128	9766
129	9746
129	9752
129	9770
130	9758
131	9742
131	9758
132	9746
132	9752
132	9758
132	9785
133	9751
133	9759
134	9742
134	9773
135	9742
135	9747
135	9758
135	9773
136	9750
136	9791
136	9799
137	9742
137	9747
138	9776
138	9784
138	9785
139	9742
139	9747
140	9799
141	9750
141	9759
141	9784
141	9799
142	9741
142	9762
142	9763
143	9761
143	9774
143	9788
144	9744
144	9745
144	9746
144	9761
144	9780
144	9781
144	9799
144	9802
145	9771
146	9742
146	9747
146	9749
146	9750
146	9752
146	9753
146	9772
147	9758
147	9759
147	9810
147	9811
148	9742
148	9744
149	9762
149	9763
149	9799
150	9742
150	9773
151	9742
152	9744
152	9780
153	9740
153	9741
153	9764
153	9766
153	9788
153	9807
154	9742
154	9746
154	9747
154	9749
154	9750
154	9752
154	9758
154	9759
154	9770
154	9772
154	9776
154	9780
154	9784
154	9790
154	9796
154	9799
155	9742
155	9744
155	9751
155	9756
155	9757
155	9780
155	9796
155	9802
155	9803
155	9809
156	9745
156	9754
156	9768
156	9769
156	9778
156	9798
157	9750
157	9791
158	9740
158	9741
158	9743
158	9744
158	9761
158	9762
158	9763
158	9764
158	9765
158	9766
158	9768
158	9769
