Source	Target
0	9740
0	9741
0	9742
1	9743
1	9744
1	9745
2	9746
2	9747
2	9748
2	9749
2	9750
2	9751
2	9752
3	9753
3	9754
3	9755
3	9756
3	9757
4	9758
4	9759
4	9760
4	9761
5	9762
5	9763
5	9764
6	9765
6	9766
6	9767
6	9768
6	9769
6	9770
7	9771
7	9772
7	9773
8	9774
8	9775
8	9776
8	9777
8	9778
8	9779
8	9780
8	9781
8	9782
8	9783
8	9784
8	9785
8	9786
8	9787
8	9788
9	9789
9	9790
9	9791
9	9792
10	9793
10	9794
10	9795
10	9796
10	9797
10	9798
10	9799
10	9800
10	9801
10	9802
10	9803
10	9804
10	9805
10	9806
10	9807
10	9808
10	9809
10	9810
10	9811
10	9812
10	9813
10	9814
10	9815
10	9816
10	9817
10	9818
10	9819
10	9820
10	9821
10	9822
10	9823
10	9824
10	9825
10	9826
10	9827
10	9828
10	9829
10	9830
10	9831
10	9832
10	9833
10	9834
10	9835
10	9836
10	9837
10	9838
10	9839
10	9840
10	9841
10	9842
10	9843
10	9844
10	9845
10	9846
10	9847
10	9848
10	9849
10	9850
10	9851
10	9852
10	9853
10	9854
10	9855
10	9856
10	9857
10	9858
10	9859
11	9860
11	9861
11	9862
11	9863
11	9864
12	9865
12	9866
12	9867
12	9868
12	9869
13	9870
13	9871
13	9872
14	9873
14	9874
14	9875
15	9876
15	9877
15	9878
15	9879
15	9880
16	9881
16	9882
16	9883
17	9884
17	9885
17	9886
17	9887
17	9888
17	9889
17	9890
17	9891
17	9892
17	9893
17	9894
17	9895
18	9896
18	9897
18	9898
19	9899
19	9900
19	9901
19	9902
20	9903
20	9904
20	9905
20	9906
21	9907
21	9908
21	9909
22	9910
22	9911
22	9912
22	9913
22	9914
22	9915
23	9916
23	9917
23	9918
23	9919
23	9920
23	9921
23	9922
23	9923
23	9924
23	9925
23	9926
23	9927
23	9928
23	9929
23	9930
23	9931
23	9932
23	9933
23	9934
23	9935
23	9936
23	9937
23	9938
23	9939
23	9940
23	9941
23	9942
23	9943
23	9944
23	9945
23	9946
23	9947
23	9948
23	9949
23	9950
23	9951
23	9952
23	9953
23	9954
23	9955
23	9956
23	9957
23	9958
23	9959
24	9960
24	9961
24	9962
24	9963
24	9964
25	9965
25	9966
25	9967
25	9968
25	9969
25	9970
25	9971
25	9972
25	9973
25	9974
25	9975
25	9976
25	9977
25	9978
25	9979
25	9980
25	9981
26	9982
26	9983
26	9984
27	9985
27	9986
27	9987
27	9988
27	9989
28	9990
28	9991
28	9992
28	9993
28	9994
28	9995
28	9996
29	9997
29	9998
29	9999
29	10000
30	10001
30	10002
30	10003
31	10004
31	10005
31	10006
32	10007
32	10008
32	10009
32	10010
32	10011
33	10012
33	10013
33	10014
33	10015
33	10016
33	10017
34	10018
34	10019
34	10020
35	10021
35	10022
35	10023
35	10024
35	10025
36	10026
36	10027
36	10028
36	10029
36	10030
37	10031
37	10032
37	10033
37	10034
37	10035
38	10036
38	10037
38	10038
38	10039
38	10040
38	10041
38	10042
39	10043
39	10044
39	10045
39	10046
40	10047
40	10048
40	10049
41	10050
41	10051
41	10052
42	10053
42	10054
42	10055
43	10056
43	10057
43	10058
43	10059
43	10060
43	10061
43	10062
43	10063
43	10064
43	10065
43	10066
44	10067
44	10068
44	10069
44	10070
44	10071
44	10072
45	9800
45	9834
45	9839
45	10073
45	10074
45	10075
45	10076
45	10077
45	10078
45	10079
45	10080
46	10081
46	10082
46	10083
46	10084
46	10085
46	10086
46	10087
46	10088
46	10089
46	10090
46	10091
46	10092
46	10093
46	10094
46	10095
46	10096
46	10097
46	10098
46	10099
46	10100
46	10101
46	10102
46	10103
46	10104
46	10105
46	10106
46	10107
46	10108
46	10109
46	10110
46	10111
46	10112
46	10113
46	10114
46	10115
46	10116
46	10117
46	10118
46	10119
46	10120
46	10121
46	10122
46	10123
46	10124
46	10125
46	10126
46	10127
46	10128
46	10129
46	10130
46	10131
46	10132
46	10133
46	10134
46	10135
46	10136
46	10137
46	10138
46	10139
46	10140
46	10141
46	10142
46	10143
46	10144
46	10145
47	10146
47	10147
47	10148
47	10149
47	10150
47	10151
48	10152
48	10153
48	10154
49	9965
49	9966
49	9967
49	9968
49	9969
49	9970
49	9971
49	9972
49	9973
49	9974
49	9975
49	9976
49	9977
49	9978
49	9979
49	9980
49	9981
50	10155
50	10156
50	10157
50	10158
50	10159
50	10160
51	10161
51	10162
51	10163
52	10164
52	10165
52	10166
53	10167
53	10168
53	10169
54	10170
54	10171
54	10172
55	10173
55	10174
55	10175
55	10176
55	10177
55	10178
55	10179
56	10180
56	10181
56	10182
57	10183
57	10184
57	10185
57	10186
57	10187
57	10188
57	10189
57	10190
57	10191
58	10192
58	10193
58	10194
58	10195
58	10196
59	10197
59	10198
59	10199
59	10200
59	10201
59	10202
59	10203
59	10204
59	10205
59	10206
60	10207
60	10208
60	10209
61	10210
61	10211
61	10212
61	10213
61	10214
61	10215
61	10216
61	10217
61	10218
61	10219
61	10220
61	10221
61	10222
61	10223
61	10224
61	10225
61	10226
61	10227
62	10228
62	10229
62	10230
62	10231
63	10161
63	10162
63	10163
64	10232
64	10233
64	10234
64	10235
64	10236
64	10237
64	10238
65	10239
65	10240
65	10241
65	10242
66	10243
66	10244
66	10245
66	10246
66	10247
66	10248
66	10249
66	10250
67	10251
67	10252
67	10253
68	10254
68	10255
68	10256
68	10257
69	9990
69	9991
69	9992
69	9993
69	9994
69	9995
70	10033
70	10258
70	10259
70	10260
70	10261
70	10262
70	10263
70	10264
70	10265
70	10266
70	10267
70	10268
70	10269
70	10270
70	10271
70	10272
70	10273
70	10274
71	10275
71	10276
71	10277
71	10278
71	10279
71	10280
71	10281
71	10282
72	10283
72	10284
72	10285
72	10286
73	10287
73	10288
73	10289
73	10290
73	10291
73	10292
74	10293
74	10294
74	10295
74	10296
75	10053
75	10054
75	10055
76	10297
76	10298
76	10299
76	10300
76	10301
76	10302
76	10303
76	10304
76	10305
76	10306
77	10307
77	10308
77	10309
78	10310
78	10311
78	10312
78	10313
79	10314
79	10315
79	10316
79	10317
79	10318
79	10319
80	10320
80	10321
80	10322
80	10323
80	10324
80	10325
81	10326
81	10327
81	10328
81	10329
82	10330
82	10331
82	10332
82	10333
82	10334
82	10335
82	10336
82	10337
82	10338
82	10339
83	10340
83	10341
83	10342
83	10343
83	10344
83	10345
83	10346
83	10347
84	10348
84	10349
84	10350
84	10351
85	10352
85	10353
85	10354
85	10355
85	10356
85	10357
85	10358
86	10359
86	10360
86	10361
86	10362
86	10363
86	10364
86	10365
86	10366
86	10367
86	10368
86	10369
86	10370
86	10371
87	10067
87	10068
87	10069
87	10071
87	10372
87	10373
87	10374
87	10375
87	10376
88	10377
88	10378
88	10379
88	10380
88	10381
89	10382
89	10383
89	10384
89	10385
89	10386
90	10387
90	10388
90	10389
90	10390
90	10391
90	10392
90	10393
91	10394
91	10395
91	10396
91	10397
91	10398
91	10399
91	10400
91	10401
91	10402
91	10403
91	10404
91	10405
91	10406
91	10407
91	10408
91	10409
92	10410
92	10411
92	10412
92	10413
92	10414
92	10415
92	10416
93	10417
93	10418
93	10419
93	10420
94	10421
94	10422
94	10423
94	10424
94	10425
